accession,title,organism,n_samples,source_summary,library_strategy,single_cell_flag,material_flag,disease_terms_found,expression_files,decision,top_reason
GSE274114,Metabolic dysfunction-associated steatohepatitis reduces interferon and macrophage liver gene signatures in chronic HBV patients,Homo sapiens 39/39,39,liver-pattern source 39/39,RNA-Seq 39/39,PASS,PASS,disease/fibrosis terms found in sample metadata (19 sample(s)),"processed per-sample counts (39/39), packaged in GSE274114_RAW.tar",MANUAL_REVIEW,"instrument_model: mixed instruments: Illumina HiSeq 4000 20/39, Illumina NovaSeq 6000 19/39"
GSE249997,Liver dysfunction in obesity is associated with cerebrovascular health independently of diabetes and hypertension.,Homo sapiens 77/77,77,liver-pattern source 77/77,RNA-Seq 77/77,PASS,PASS,disease/fibrosis terms found in sample metadata (77 sample(s)),"processed per-sample counts (77/77), packaged in GSE249997_RAW.tar",MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE253380,"ACMSD inhibition corrects fibrosis, inflammation, and DNA damage in MASLD/MASH","mixed organisms: Homo sapiens 24/48, Mus musculus 24/48",48,liver-pattern source 48/48,RNA-Seq 48/48,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE253380_mPH_HLO_tmm_normalized_counts.xlsx,MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 24/48, Mus musculus 24/48"
GSE247407,Induction ofsteatosis in primary human hepatocytes manifests into hepatic pathophysiology of metabolic dysfunction-associated liver disease,Homo sapiens 30/30,30,liver-pattern source 30/30,RNA-Seq 30/30,PASS,INFO,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE247407_gene_fpkm.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE273561,Aldehydes alter TGF-β signaling and induce obesity and cancer,"mixed organisms: Homo sapiens 9/27, Mus musculus 18/27",27,liver-pattern source 27/27,RNA-Seq 27/27,FAIL,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (4/27), packaged in GSE273561_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: filtered_feature_bc_matrix, snRNA (13 sample(s)))"
GSE253493,RNA-Seq experiment of primary hepatic stellate cells (HSCs) and LX-2 cell line treated with TGFb,Homo sapiens 12/12,12,liver-pattern source 6/12,RNA-Seq 12/12,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX23265334, https://www.ncbi.nlm.nih.gov/sra?term=SRX23265335, https://www.ncbi.nlm.nih.gov/sra?term=SRX23265336, https://www.ncbi.nlm.nih.gov/sra?term=SRX23265337, https://www.ncbi.nlm.nih.gov/sra?term=SRX23265338, and 7 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE234415,A new Nuclear-erythroid-2-Related Factor 2 activator for the treatment of human metabolic associated fatty liver disease,Homo sapiens 36/36,36,liver-pattern source 36/36,RNA-Seq 36/36,PASS,PASS,disease/fibrosis terms found in sample metadata (36 sample(s)),processed series-level file: GSE234415_normalized_counts.txt.gz,STRONG_CANDIDATE,
GSE247467,"Transcriptomic characterization of circulating neutrophils isolated from patients with metabolic dysfunction-associated steatohepatitis (MASH), formerly known as nonalcoholic steatohepatitis (NASH).",Homo sapiens 12/12,12,liver-pattern source 0/12,RNA-Seq 12/12,PASS,PASS,disease/fibrosis terms found in sample metadata (8 sample(s)),"processed per-sample counts (12/12), packaged in GSE247467_RAW.tar",MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE228087,Monocyte-derived Macrophages,Homo sapiens 16/16,16,liver-pattern source 0/16; off-target tissue signal detected,RNA-Seq 16/16,PASS,INFO,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE228087_MoMF_counts.csv.gz,MANUAL_REVIEW,sample_count: 16 samples (below 20)
GSE228086,Hepatic Stellate Cell Activation after 72hr,Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,INFO,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE228086_HSC_counts.csv.gz,MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE174543,Genome-wide RNAseq of liver tissue derived from humanized mice fed by CDA-HFD and treated with CLDN1 mAb or vehicle Control,Homo sapiens | Mus musculus 10/10,10,liver-pattern source 10/10,RNA-Seq 10/10,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE174543_DESeq2-normalized_counts.tsv.gz,MANUAL_REVIEW,sample_count: 10 samples (below 20)
GSE245977,The effect of anti-Gremlin-1 treatment on human cirrhotic precision-cut liver slices,Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (12/12), packaged in GSE245977_RAW.tar",MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE241526,Mitochondrial GpC and CpG DNA hypermethylation cause metabolic stress induced mitophagy and cholestophagy [RNA-seq],Homo sapiens 23/23,23,liver-pattern source 23/23,RNA-Seq 23/23,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE241526_table_input_gene_counts.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE241474,A genetically engineered mouse model (GEMM) of NUT carcinoma (RNA-Seq),"mixed organisms: Homo sapiens 1/21, Mus musculus 20/21",21,liver-pattern source 0/21,RNA-Seq 21/21,PASS,WARN,no NAFLD-spectrum term found in series or sample metadata,"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX21455953, https://www.ncbi.nlm.nih.gov/sra?term=SRX21455954, https://www.ncbi.nlm.nih.gov/sra?term=SRX21455955, https://www.ncbi.nlm.nih.gov/sra?term=SRX21455956, https://www.ncbi.nlm.nih.gov/sra?term=SRX21455957, and 16 more (see sample_metadata.csv))",REJECT,disease_relevance: no NAFLD-spectrum term in series or sample metadata (no NAFLD-spectrum term found in series or sample metadata)
GSE239422,A functional interaction between hepatic Estrogen Receptor-a and PNPLA3 p.I148M variant drives fatty liver diseases susceptibility in women,Homo sapiens 125/125,125,liver-pattern source 125/125,RNA-Seq 125/125,PASS,PASS,disease/fibrosis terms found in sample metadata (125 sample(s)),processed series-level file: GSE239422_Normalized_Counts.txt.gz,STRONG_CANDIDATE,
GSE208413,EXCESSIVE INFLAMMATION DRIVES POSTOPERATIVE LIVER FAILURE IN HUMANS - mRNA datasets,Homo sapiens 57/57,57,liver-pattern source 57/57,RNA-Seq 57/57,WARN,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE208413_mRNA_counts.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE217968,Characterization of human hepatic natural killer cells in end-stage chronic liver diseases,Homo sapiens 16/16,16,liver-pattern source 0/16,RNA-Seq 16/16,FAIL,PASS,disease/fibrosis terms found in sample metadata (4 sample(s)),"processed per-sample counts (16/16), packaged in GSE217968_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X, Cell Ranger, barcodes.tsv, features.tsv, matrix.mtx (16 sample(s)))"
GSE147304,RNA-Seq analylsis of human NASH and Normal liver tissues,Homo sapiens 10/10,10,liver-pattern source 10/10,RNA-Seq 10/10,PASS,PASS,disease/fibrosis terms found in sample metadata (10 sample(s)),processed series-level file: GSE147304_gene_expression.txt.gz,MANUAL_REVIEW,sample_count: 10 samples (below 20)
GSE189600,Hepatocytes demarcated by EphB2 contribute to the progression of non-alcoholic steatohepatitis,"mixed organisms: Homo sapiens 6/21, Mus musculus 15/21",21,liver-pattern source 21/21,"mixed strategies: ATAC-seq 5/21, RNA-Seq 16/21",FAIL,PASS,disease/fibrosis terms found in sample metadata (3 sample(s)),"processed per-sample counts (10/21), packaged in GSE189600_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X, Cellranger, Chromium, barcodes.tsv, features.tsv, matrix.mtx, nuclei were isolat, snRNA (21 sample(s)))"
GSE212837,An autocrine signaling circuit in hepatic stellate cells underlies advanced fibrosis in non-alcoholic steatohepatitis,"mixed organisms: Homo sapiens 18/20, Mus musculus 2/20",20,liver-pattern source 20/20,RNA-Seq 20/20,FAIL,PASS,disease/fibrosis terms found in sample metadata (17 sample(s)),"processed per-sample counts (20/20), packaged in GSE212837_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: .h5ad, 10x, Cell Ranger, Chromium, barcodes.tsv, features.tsv, matrix.mtx, snRNA (21 sample(s)))"
GSE173736,Transcriptional regulation of liver lipotoxicity in non-alcoholic steatohepatitis,"mixed organisms: Homo sapiens 16/52, Mus musculus 36/52",52,liver-pattern source 52/52,"mixed strategies: ATAC-seq 14/52, RNA-Seq 38/52",PASS,PASS,disease/fibrosis terms found in sample metadata (8 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX10756533, https://www.ncbi.nlm.nih.gov/sra?term=SRX10756534, https://www.ncbi.nlm.nih.gov/sra?term=SRX10756535, https://www.ncbi.nlm.nih.gov/sra?term=SRX10756536, https://www.ncbi.nlm.nih.gov/sra?term=SRX10756537, and 47 more (see sample_metadata.csv))",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 16/52, Mus musculus 36/52"
GSE173735,Transcriptional regulation of liver lipotoxicity in non-alcoholic steatohepatitis [RNA-seq],"mixed organisms: Homo sapiens 8/38, Mus musculus 30/38",38,liver-pattern source 38/38,RNA-Seq 38/38,PASS,PASS,disease/fibrosis terms found in sample metadata (4 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX10756533, https://www.ncbi.nlm.nih.gov/sra?term=SRX10756534, https://www.ncbi.nlm.nih.gov/sra?term=SRX10756535, https://www.ncbi.nlm.nih.gov/sra?term=SRX10756536, https://www.ncbi.nlm.nih.gov/sra?term=SRX10756537, and 33 more (see sample_metadata.csv))",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 8/38, Mus musculus 30/38"
GSE175448,Transcriptome profiles of liver biopsy tissues before and after cenicriviroc treatment in patients with non-alcoholic steatohepatitis,Homo sapiens 38/38,38,liver-pattern source 38/38,RNA-Seq 38/38,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX10973778, https://www.ncbi.nlm.nih.gov/sra?term=SRX10973779, https://www.ncbi.nlm.nih.gov/sra?term=SRX10973780, https://www.ncbi.nlm.nih.gov/sra?term=SRX10973781, https://www.ncbi.nlm.nih.gov/sra?term=SRX10973782, and 33 more (see sample_metadata.csv))",MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE179395,Butyrate protects against diet-induced liver fibrosis and suppresses non-canonical TGF-β signaling in human stellate cells,Homo sapiens 22/22,22,liver-pattern source 22/22,RNA-Seq 22/22,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (22/22), packaged in GSE179395_RAW.tar",MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE180882,Transcriptome characterization of organoids derived from healthy and irreversibly damaged NASH patient liver,Homo sapiens 45/45,45,liver-pattern source 45/45,RNA-Seq 45/45,PASS,WARN,disease/fibrosis terms found in sample metadata (24 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX11559697, https://www.ncbi.nlm.nih.gov/sra?term=SRX11559698, https://www.ncbi.nlm.nih.gov/sra?term=SRX11559699, https://www.ncbi.nlm.nih.gov/sra?term=SRX11559700, https://www.ncbi.nlm.nih.gov/sra?term=SRX11559701, and 40 more (see sample_metadata.csv))",MANUAL_REVIEW,material_type: cell/culture terms in sample metadata: organoid (39/45 samples)
GSE169084,A human liver cell-based system modeling a clinical prognostic liver signature combined with single-cell RNA-Seq for discovery of liver disease therapeutics,Homo sapiens 12/12,12,liver-pattern source 0/12,RNA-Seq 12/12,WARN,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE169084_Huh7dif_rawReadCounts.txt.gz,MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE173671,A human liver cell-based system modeling a clinical prognostic liver signature combined with single-cell RNA-Seq for discovery of liver disease therapeutics,Homo sapiens 2/2,2,liver-pattern source 2/2,RNA-Seq 2/2,FAIL,INFO,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE173671_gene_counts_matrix.tsv.gz,REJECT,single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: scRNA (2 sample(s)))
GSE169447,XCR1+ type 1 conventional dendritic cells drive liver pathology in Non-Alcoholic Steatohepatitis.,"mixed organisms: Homo sapiens 2/122, Mus musculus 120/122",122,liver-pattern source 108/122,RNA-Seq 122/122,FAIL,PASS,disease/fibrosis terms found in sample metadata (1 sample(s)),"processed per-sample counts (2/122), packaged in GSE169447_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Single cell suspension, barcodes.tsv, cellranger, features.tsv, matrix.mtx (2 sample(s)))"
GSE159977,Immune-checkpoint blockade lacks anti-tumorgenicity in NASH-induced HCC,Homo sapiens 10/10,10,liver-pattern source 10/10,RNA-Seq 10/10,FAIL,PASS,disease/fibrosis terms found in sample metadata (6 sample(s)),"processed per-sample counts (10/10), packaged in GSE159977_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Cell Ranger, Chromium, Seurat, Single cell suspension, barcodes.tsv, features.tsv, matrix.mtx (10 sample(s)))"
GSE149298,Integrative molecular profiling of autoreactive CD4 T cells in autoimmune hepatitis,Homo sapiens 14/14,14,liver-pattern source 0/14,RNA-Seq 14/14,FAIL,INFO,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX8171801, https://www.ncbi.nlm.nih.gov/sra?term=SRX8171802, https://www.ncbi.nlm.nih.gov/sra?term=SRX8171803, https://www.ncbi.nlm.nih.gov/sra?term=SRX8171804, https://www.ncbi.nlm.nih.gov/sra?term=SRX8171805, and 9 more (see sample_metadata.csv))",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Drop-seq, scRNA (14 sample(s)))"
GSE148849,Gene Expression Analysis of the response to ACC inhibition,"mixed organisms: Homo sapiens 36/74, Mus musculus 38/74",74,liver-pattern source 74/74; off-target tissue signal detected,RNA-Seq 74/74,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (74/74), packaged in GSE148849_RAW.tar",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 36/74, Mus musculus 38/74"
GSE143319,"Inhibition of Grb14, a negative modulator of insulin signaling,  improves glucose homeostasis without causing cardiac dysfunction",Homo sapiens 50/50,50,liver-pattern source 0/50; off-target tissue signal detected,RNA-Seq 50/50,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE143319_MHOvsMUO_FPKM.xlsx,MANUAL_REVIEW,source_tissue: liver-pattern source 0/50; off-target tissue signal detected
GSE134422,HNF4α nuclear localization correlates with the clinical progression of terminal hepatic failure in humans,Homo sapiens 7/7,7,liver-pattern source 7/7,RNA-Seq 7/7,PASS,PASS,disease/fibrosis terms found in sample metadata (2 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX6456985, https://www.ncbi.nlm.nih.gov/sra?term=SRX6456986, https://www.ncbi.nlm.nih.gov/sra?term=SRX6456987, https://www.ncbi.nlm.nih.gov/sra?term=SRX6456988, https://www.ncbi.nlm.nih.gov/sra?term=SRX6456989, and 2 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 7 samples (below 20)
GSE126798,"Human liver organoids; a patient-derived primary model for HBV Infection, Replication and Related Hepatocellular Carcinoma",Homo sapiens 25/25,25,liver-pattern source 25/25,RNA-Seq 25/25,PASS,WARN,disease/fibrosis terms found in sample metadata (4 sample(s)),processed series-level file: GSE126798_P_vs_H_DESeq_normalized_counts.txt.gz,MANUAL_REVIEW,"metadata_completeness: patchy fields: disease 16/25. reported consistently: age, tissue; not reported anywhere: bmi, diagnosis, ethnicity, fibrosis_stage, group, nas_score, sex, stage, steatosis_grade, treatment"
GSE128940,IL-11 neutralising therapies for the treatment of nonalcoholic steatohepatitis,"mixed organisms: Homo sapiens 6/30, Mus musculus 24/30",30,liver-pattern source 30/30,RNA-Seq 30/30,PASS,INFO,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE128940_counts_human.txt.gz,MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 6/30, Mus musculus 24/30"
GSE129933,Chronic Liver Disease in Humans Causes Expansion and Differentiation of Liver Lymphatic Endothelial Cells,Homo sapiens 4/4,4,liver-pattern source 4/4,RNA-Seq 4/4,FAIL,INFO,disease/fibrosis terms found in sample metadata (1 sample(s)),processed series-level file: GSE129933_count_matrix.tsv.gz,REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Seurat (4 sample(s)))"
GSE99349,Gene Network Dysregulation in Dorsolateral Prefrontal Cortex Neurons of Humans with Cocaine Use Disorder,Homo sapiens 36/36,36,liver-pattern source 0/36,RNA-Seq 36/36,PASS,PASS,no NAFLD-spectrum term found in series or sample metadata,processed series-level file: GSE99349_Expression_Matrix.xlsx,REJECT,disease_relevance: no NAFLD-spectrum term in series or sample metadata (no NAFLD-spectrum term found in series or sample metadata)
GSE89063,Development of an In Vitro Human Liver System for Interrogating Non-Alcoholic Steatohepatitis,Homo sapiens 17/17,17,liver-pattern source 17/17,RNA-Seq 17/17,PASS,INFO,disease/fibrosis terms found in sample metadata (8 sample(s)),processed series-level file: GSE89063_gene_counts.tsv.gz,MANUAL_REVIEW,sample_count: 17 samples (below 20)
